Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
15-11-2024,16:35,15-11-2024,APPLE INC,US0378331005,Retirada Cambio de Divisa,"1,0558",USD,"-1123,50",USD,"1,06",12106de2-8f1c-47eb-a9ff-dbf6124e86ef
15-11-2024,16:35,15-11-2024,APPLE INC,US0378331005,Ingreso Cambio de Divisa,,EUR,"1064,09",EUR,"1134,80",12106de2-8f1c-47eb-a9ff-dbf6124e86ef
15-11-2024,16:35,15-11-2024,APPLE INC,US0378331005,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"70,71",12106de2-8f1c-47eb-a9ff-dbf6124e86ef
15-11-2024,16:35,15-11-2024,APPLE INC,US0378331005,"Venta 5 Apple Inc@224,7 USD (US0378331005)",,USD,"1123,50",USD,"1124,56",12106de2-8f1c-47eb-a9ff-dbf6124e86ef
15-11-2024,07:10,14-11-2024,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,19",USD,"1,06",
15-11-2024,07:10,14-11-2024,APPLE INC,US0378331005,Dividendo,,USD,"1,25",USD,"1,25",
08-11-2024,18:17,08-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-20,49",EUR,"72,71",
08-11-2024,18:17,08-11-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 20,49 EUR",,,,EUR,"93,20",
08-11-2024,07:14,07-11-2024,CAIXABANK SA,ES0140609019,Retención del dividendo,,EUR,"-4,81",EUR,"72,71",
08-11-2024,07:14,07-11-2024,CAIXABANK SA,ES0140609019,Dividendo,,EUR,"25,30",EUR,"77,52",
05-11-2024,11:48,04-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-6,07",EUR,"52,22",
05-11-2024,11:48,04-11-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 6,07 EUR",,,,EUR,"58,29",
04-11-2024,16:20,01-11-2024,BANCO SANTANDER,ES0113900J37,Dividendo,,EUR,"7,50",EUR,"52,22",
04-11-2024,16:20,01-11-2024,BANCO SANTANDER,ES0113900J37,Retención del dividendo,,EUR,"-1,43",EUR,"44,72",
11-10-2024,16:45,11-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-21,61",EUR,"46,15",
11-10-2024,16:45,11-10-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 21,61 EUR",,,,EUR,"67,76",
11-10-2024,07:25,10-10-2024,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Dividendo,,EUR,"26,68",EUR,"46,15",
11-10-2024,07:25,10-10-2024,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Retención del dividendo,,EUR,"-5,07",EUR,"19,47",
10-10-2024,16:45,10-10-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,,,EUR,"24,54",
10-10-2024,16:45,10-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,01",EUR,"24,53",
10-10-2024,11:15,09-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"48,29",EUR,"24,54",
10-10-2024,11:15,09-10-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 48,29 EUR",,,,EUR,"-23,75",
10-10-2024,06:49,09-10-2024,,,Ingreso Cambio de Divisa,,EUR,"0,01",EUR,"24,54",
10-10-2024,06:49,09-10-2024,,,Retirada Cambio de Divisa,"1,0967",USD,"-0,01",USD,"0,00",
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Ingreso Cambio de Divisa,"1,0926",USD,"291,33",USD,"0,01",75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,,EUR,"-266,65",EUR,"24,53",75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Ingreso Cambio de Divisa,"1,0926",USD,"64,72",USD,"-291,32",75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,,EUR,"-59,24",EUR,"291,18",75b28187-0787-4ea7-b518-d5fa41c6eacd
